Age,TIC ,δ18O,δ13C,Aragonite,Calcite,Dolomite,Calcite
5390,0.03,,,,,,
5437,0.00,,,,,,
5482,0.03,,,,,,
5523,0.01,,,,,,
5564,0.01,,,,,,
5606,0.01,,,,,,
5648,0.01,,,,,,
5693,0.01,,,,,,
5741,0.01,,,,,,
5790,0.01,,,,,,
5840,0.01,,,,,,
5887,0.01,,,,,,
5933,0.01,,,,,,
5979,0.01,,,,,,
6022,0.01,,,,,,
6071,0.00,,,,,,
6111,0.01,,,,,,
6146,0.01,,,,,,
6184,0.01,,,,,,
6221,0.01,,,,,,
6255,0.01,,,,,,
6291,0.01,,,,,,
6337,0.01,,,,,,
6382,0.01,,,,,,
6426,0.01,,,,,,
6477,0.01,,,,,,
6522,0.01,,,,,,
6560,0.01,,,,,,
6598,0.01,,,,,,
6637,0.02,,,,,,
6679,0.01,,,,,,
6717,0.02,,,,,,
6741,0.02,,,,,,
6765,0.04,,,,,,
6790,0.13,,,,,,
6813,0.23,24.41,0.59,,,,
6834,0.61,21.35,-1.89,,,,
6855,1.15,21.46,0.71,,,,
6878,2.43,18.78,-1.60,,,,
6900,1.56,18.38,-3.00,,,,
6922,0.24,22.24,0.20,0.00,0.00,1.00,
6943,3.05,18.22,-0.52,,,,
6967,3.71,18.05,-0.94,,,,
6993,4.90,17.11,-0.21,,,,
7015,4.33,17.96,-1.17,,,,
7060,4.22,17.17,-1.16,,,,
7083,3.85,17.06,-1.08,,,,
7104,2.92,17.85,-0.33,,,,
7129,5.42,16.19,-0.95,,,,
7153,5.39,16.82,-0.39,,,,
7175,5.66,17.33,-0.28,,,,
7195,6.11,17.80,0.09,,,,
7216,6.32,17.70,0.28,,,,
7239,6.25,17.29,-0.35,,,,
7261,5.45,17.83,-0.99,,,,
7283,4.76,18.58,-1.11,,,,
7305,4.78,18.16,-1.76,,,,
7327,5.56,17.85,-1.46,,,,
7351,4.33,18.29,-2.02,,,,
7376,2.38,20.47,-1.19,0.00,0.40,0.60,
7399,2.45,20.05,-1.94,,,,
7420,3.28,20.00,-1.76,,,,
7440,4.32,18.55,-1.39,,,,
7462,5.12,18.64,-0.22,,,,
7484,5.39,18.58,0.37,,,,
7507,4.52,19.11,0.40,,,,
7536,3.64,19.00,-0.08,,,,
7573,2.12,20.04,-0.17,,,,
7604,1.41,20.90,-0.17,,,,
7633,0.81,19.43,-0.99,,,,
7674,0.85,18.91,-1.38,,,,
7728,1.37,18.96,-0.61,,,,
7775,3.05,18.19,-0.74,,,,
7822,4.97,16.68,-1.30,,,,
7870,5.60,16.48,-0.59,,,,
7930,5.83,17.19,-0.75,,,,
8018,4.48,18.77,-0.89,,,,
8106,3.23,19.38,-1.79,,,,
8182,1.65,20.23,-1.82,,,,
8254,0.56,22.41,-0.50,0.00,0.00,1.00,
8325,0.23,21.16,-0.83,,,,
8395,0.10,20.43,-1.05,,,,
8465,0.10,21.30,-0.68,,,,
8538,0.16,20.57,-0.67,,,,
8607,2.52,18.87,-0.61,,,,
8673,5.53,17.38,-0.84,,,,
8739,6.41,17.43,-0.78,,,,
8807,6.17,18.03,-0.81,,,,
8869,5.44,17.48,-1.46,,,,
8942,4.69,18.50,-1.59,,,,
9010,3.36,19.21,-1.47,,,,
9069,0.48,21.06,-1.85,,,,
9134,0.07,,,,,,
9195,0.03,,,,,,
9256,0.14,,,,,,
9320,0.55,23.77,1.34,,,,
9394,0.70,24.05,1.81,,,,
9468,1.05,23.28,1.74,,,,
9547,0.47,24.54,0.75,,,,
9620,0.15,24.66,-0.16,0.00,0.17,0.83,
9688,0.08,22.91,-1.82,,,,
9747,1.15,20.67,-1.42,,,,
9804,2.08,19.00,-1.72,,,,
9860,0.22,23.87,-0.52,,,,
9920,0.19,22.52,0.26,,,,
9979,1.21,21.99,0.17,0.11,0.28,0.60,
10026,2.54,21.46,-0.08,,,,
10074,1.87,20.95,-0.30,,,,
10125,0.14,24.09,-0.06,,,,
10180,0.02,,,,,,
10237,0.01,,,,,,
10299,0.00,,,,,,
10358,-0.00,,,,,,
10421,0.00,,,,,,
10484,0.00,,,,,,
10539,0.00,,,,,,
10591,0.00,,,,,,
10645,0.01,,,,,,
10696,0.01,,,,,,
10751,0.01,,,,,,
10800,0.01,,,,,,
10831,0.01,,,,,,
10863,1.04,24.30,2.68,,,,
10892,1.25,24.70,2.49,0.37,0.00,0.63,
10923,0.34,25.70,1.36,,,,
10952,1.55,23.52,1.07,0.08,0.00,0.92,
10983,2.34,23.35,1.92,,,,
11014,2.63,21.86,0.85,0.13,0.50,0.37,
11047,3.55,21.36,0.51,,,,
11077,4.00,20.06,0.46,0.11,0.68,0.21,29.57
11107,5.26,17.53,0.29,0.17,0.76,0.06,29.69
11138,6.00,17.84,0.65,0.26,0.73,0.02,29.95
11169,6.75,19.48,1.43,,,,
11202,7.00,19.44,1.30,0.26,0.74,0.00,29.95
11235,6.93,20.65,1.87,,,,
11265,7.09,22.15,2.42,0.62,0.33,0.05,29.47
11294,7.44,23.36,2.86,,,,
11323,7.83,22.94,2.66,0.58,0.33,0.08,29.65
11353,9.22,23.74,3.21,,,,
11383,8.65,23.92,3.12,0.75,0.20,0.05,29.69
11410,9.43,23.90,3.36,0.82,0.12,0.06,29.62
11437,8.81,23.45,2.73,0.82,0.14,0.04,29.87
11462,9.13,23.86,3.31,,,,
11491,8.93,24.26,3.43,0.83,0.12,0.05,29.89
11518,9.64,23.52,3.04,,,,
11543,9.51,23.40,2.78,0.73,0.21,0.07,29.69
11568,9.72,23.70,2.70,,,,
11592,9.44,23.48,2.67,0.82,0.18,0.00,29.98
11618,9.08,23.41,2.83,,,,
11642,8.84,23.74,3.26,0.76,0.24,0.00,29.82
11715,8.75,24.01,3.50,0.70,0.30,0.00,29.84
11821,9.63,23.23,3.05,0.78,0.18,0.03,29.71
11880,9.28,23.98,3.71,,,,
11916,6.28,,,,,,
11990,3.92,23.35,1.80,0.40,0.49,0.11,29.63
12072,4.14,23.31,1.59,,,,
12189,3.88,22.91,1.32,0.22,0.54,0.24,29.45
12368,3.67,23.17,1.59,,,,
12565,3.97,23.27,1.75,0.20,0.55,0.25,29.61
12735,3.64,23.34,1.60,,,,
12902,4.17,22.78,1.52,0.24,0.60,0.15,29.65
13069,3.83,22.91,1.52,0.36,0.54,0.10,29.61
13247,4.05,23.37,1.79,0.25,0.54,0.21,29.79
13433,3.91,23.57,1.83,,,,
13618,3.95,23.51,1.75,0.22,0.59,0.20,29.67
13804,3.79,23.30,1.53,,,,
13955,3.92,23.28,1.67,0.20,0.48,0.32,29.87
14070,4.11,23.34,1.57,,,,
14178,4.20,23.80,1.57,0.14,0.64,0.22,29.67
14299,3.49,23.05,1.39,,,,
14382,4.21,23.88,1.97,0.19,0.55,0.26,30.17
14468,4.66,24.51,2.34,0.31,0.41,0.27,29.51
14554,4.93,24.13,2.39,0.43,0.45,0.12,30.03
14634,4.66,23.27,1.74,,,,
14712,3.79,23.18,1.43,0.20,0.69,0.10,30.18
14795,3.97,23.88,1.80,,,,
14865,5.50,25.21,2.78,0.61,0.31,0.08,29.73
14927,4.52,25.17,2.64,,,,
14992,6.08,25.42,3.10,0.32,0.60,0.08,30.01
15052,6.05,25.88,3.37,,,,
15113,5.36,24.92,2.87,0.42,0.47,0.12,29.65
15182,4.83,24.68,2.70,0.52,0.41,0.08,29.55
15257,5.97,24.99,2.99,0.49,0.38,0.13,29.57
15333,6.48,25.32,3.24,,,,
15409,7.12,25.40,3.47,0.47,0.46,0.08,29.68
15488,6.98,24.76,3.38,,,,
15563,6.86,25.16,3.39,0.69,0.26,0.04,29.67
15633,7.41,25.42,3.71,,,,
15683,6.65,25.00,2.59,0.10,0.83,0.07,30.11
15726,5.30,24.57,2.20,,,,
15777,4.78,22.86,1.61,,,,
15844,4.18,23.75,1.90,0.00,0.91,0.09,29.97
15915,3.43,23.03,1.41,0.00,0.89,0.11,29.79
15969,3.86,23.05,1.51,0.00,0.90,0.10,29.93
16028,3.67,23.38,1.54,,,,
16087,4.35,23.34,1.65,0.00,0.83,0.17,29.93
16151,4.06,23.13,1.35,,,,
16215,3.79,23.55,1.60,0.00,0.82,0.18,29.93
16286,3.06,22.29,0.58,,,,
16367,2.85,21.84,0.61,0.00,0.83,0.17,29.85
16458,2.62,22.51,0.87,,,,
16538,2.84,22.51,0.74,0.00,0.66,0.34,29.68
16616,2.74,22.76,0.82,0.00,0.75,0.25,29.70
16710,2.88,22.22,0.54,0.00,0.84,0.16,29.87
16797,3.04,20.98,0.23,,,,
16882,2.69,22.55,0.32,0.00,0.76,0.24,29.93
16953,2.86,22.15,0.46,,,,
17031,2.66,21.83,0.31,0.00,0.53,0.47,29.69
17114,2.71,22.46,0.50,,,,
17196,2.67,22.49,0.51,0.00,0.81,0.19,29.91
17291,2.68,21.29,-0.01,,,,
17382,2.94,22.28,0.58,0.00,0.84,0.16,29.85
17477,2.73,22.53,0.53,0.00,0.73,0.27,29.53
17585,2.85,22.47,0.47,0.00,0.81,0.19,29.95
17713,2.93,22.55,0.80,,,,
17835,2.93,22.04,0.45,0.00,0.82,0.18,29.93
17952,3.07,22.02,0.78,,,,
18048,3.77,22.62,1.36,0.20,0.67,0.14,29.57
18151,3.80,22.22,0.91,,,,
18255,3.70,21.18,0.40,,,,
18368,3.81,22.22,0.85,,,,
18491,3.91,21.94,0.61,,,,
18583,4.17,21.59,0.47,0.15,0.70,0.15,29.47
18658,3.88,21.41,0.56,,,,
18730,3.86,20.71,0.54,,,,
18806,4.43,22.51,1.21,,,,
18886,4.47,22.24,1.07,,,,
18947,4.66,22.55,1.16,,,,
18965,4.30,22.42,1.07,0.05,0.70,0.25,29.49
18987,4.69,22.72,1.36,,,,
19035,3.22,22.65,0.76,,,,
19099,2.82,23.10,0.95,,,,
19156,2.92,23.04,0.99,,,,
19214,3.16,23.19,1.08,,,,
19280,3.00,23.38,1.24,0.00,0.75,0.25,29.55
19360,3.08,22.88,1.08,,,,
19435,3.51,23.27,1.09,,,,
19514,3.31,22.50,0.76,,,,
19588,3.17,22.10,0.59,,,,
19655,,,,,,,
19723,,,,,,,
19793,,,,,,,
19864,,,,,,,
19926,,,,,,,
19999,,,,,,,
20084,,,,,,,
20167,,,,,,,
20249,,,,,,,
20331,,,,,,,
20404,,,,,,,
20479,,,,,,,
20559,,,,,,,
20631,,,,,,,
20708,,,,,,,
20782,,,,,,,
20860,,,,,,,
20939,,,,,,,
21016,,,,,,,
21091,,,,,,,
21164,3.11,22.06,0.51,0.00,0.67,0.33,29.65
21248,2.87,22.24,0.58,,,,
21331,2.79,22.02,0.59,,,,
21419,2.97,22.68,0.87,,,,
21512,3.11,22.18,0.60,,,,
21592,3.25,22.06,0.83,0.00,0.65,0.35,29.57
21670,3.21,22.12,0.42,,,,
21749,3.12,21.82,0.33,,,,
21826,3.11,22.15,0.57,,,,
21903,3.08,21.84,0.41,,,,
21977,2.78,22.19,0.50,0.00,0.78,0.22,29.49
22047,2.83,21.44,0.70,,,,
22124,3.03,21.25,0.49,,,,
22201,2.98,22.45,0.74,,,,
22280,3.10,21.39,-0.06,,,,
22352,3.15,22.20,0.45,0.00,0.66,0.34,29.53
22415,3.05,20.81,-0.06,,,,
22483,2.96,22.12,0.23,,,,
22554,2.81,22.08,0.30,,,,
22621,3.33,22.23,1.03,,,,
22692,2.98,21.91,0.11,0.00,0.75,0.25,29.49
22755,2.90,22.66,0.66,,,,
22817,2.78,21.90,0.28,,,,
22884,2.73,21.34,-0.58,,,,
22957,2.54,21.75,-0.20,,,,
23027,2.67,21.28,-0.39,0.00,0.74,0.26,29.65
23093,2.43,21.88,-0.36,,,,
23176,2.19,22.12,0.35,,,,
23276,2.37,22.75,0.50,,,,
23373,2.98,23.06,1.01,,,,
23471,3.49,23.58,1.96,0.00,0.52,0.48,29.48
23581,2.61,22.32,0.16,,,,
23691,3.42,23.24,1.64,,,,
23790,3.24,22.97,1.30,,,,
23880,4.12,22.74,1.12,,,,
23961,3.90,22.31,0.66,0.07,0.38,0.55,29.53
24023,3.88,22.15,0.75,,,,
24072,3.44,23.65,1.10,,,,
24139,4.06,23.62,1.49,,,,
24235,3.93,24.22,2.51,,,,
24315,5.13,24.73,3.27,,,,
24362,4.58,23.65,2.11,,,,
