Age,HSG,Glass1,Glass2,DetCarb
0,2,2,1,0
70,10.925235,7.037382,7.821012,6.089494
140,8.029804,5.007451,6.178988,7.178988
210,7,4.145124,6.194553,7.194553
280,10,6.023529,3.642023,4.642023
350,8.917647,7.917647,3,7.579767
420,13.2,7.4,7.845018,11.051661
490,8,6.552941,4.634686,4.634686
560,9.080686,8.161372,3.873016,6.309524
630,8.407498,8.142081,6.087302,7.637566
700,3.975782,3.024218,6.558201,5.846561
770,3.269425,3.730575,2.357143,2.785714
840,3.642433,4,0.280423,2.280423
910,4.681009,4,1.822695,4.177305
980,7.21044,4.736813,3.319149,5.319149
1050,6.399575,7.198724,4.026972,6.973028
1120,9.182315,5.727438,4.498989,6.501011
1190,9.291097,8.145548,4.971005,6.028995
1260,9.037679,6.981161,4.113958,5.113958
1330,7.108174,4.108174,3.169926,4.169926
1400,9.235115,4.235115,3.937126,6.937126
1470,10.085688,7.085688,4.158683,6.523952
1540,9.341003,7.936401,4.254491,4.254491
1610,6.708455,6.708455,3,2.700599
1680,5.948665,6.051335,5,2
1750,5.188952,6.811048,2.196516,2.700871
1820,5.570762,6.429238,1,2.346444
1890,6.661022,5.338978,1,1.393739
1960,7.909703,4.090297,2.118007,2.677011
2030,7.149989,4.850011,2.488226,4.511774
2100,6.390209,4.390209,2.92896,4.53552
2170,6.369546,4,3.165759,4.41712
2240,6.74148,3.87074,3.109432,5
2310,5.222053,3.111027,4.354927,4.677463
2380,5,1.702486,3.275214,3.449571
2450,4.182982,1.408509,3.772047,2.227953
2520,3,2.351235,2.819382,2.819382
2590,5.81301,1.12466,1.86663,1.86663
2660,10.427924,9.572076,0.913978,1.516129
2730,9.662285,9.551904,0.232748,7.271539
2800,15.696805,11.909585,5.949367,13.940928
2870,15.283254,10.300476,10.721013,13.055797
2940,11.651632,7.739347,9.206315,9.412629
3010,9.543971,4.543971,3.052811,4.752008
3080,9.677766,6.711065,2,4.802259
3150,12.127136,8,4.265006,3.489996
3220,15.961108,9.480554,7.962963,7.938272
3290,13.913511,7.685133,10.841406,12.682811
3360,11.394225,6.197113,10.176638,11.353276
3430,6.82879,4.331516,7.071225,5.630579
3500,4.269004,4,3.388414,0.458689
3570,4.896862,5.793723,0.729345,2.452991
3640,7.395077,4.868308,0.482431,2.517569
3710,8.832226,5.557033,1.588794,2.441595
3780,8.940004,6.706664,4.247863,4.435897
3850,10.90424,5.09576,5.476733,5.476733
3920,9.646668,7.838333,6,5.8585
3990,12.580848,9.514912,6,5.193732
4060,11.323334,11.646668,6.471035,5.471035
4130,11.595511,10.404489,6.592593,5.728395
4200,10.80852,9.20568,4.598291,4.39886
4270,9.198832,8.198832,4.465337,4
4340,9.999427,8.999427,4.869896,4.390313
4410,9.197778,8.197778,4.205128,6.384615
4480,13.227096,9.811612,4,7.459639
4550,14.78344,10.18896,4.373219,8
4620,11.756986,9.207169,6.367521,8
4690,7.008818,9.947091,7,6.184236
4760,7.810467,5.137197,6.406458,4.356125
4830,4.326881,4,3.082621,6.350427
4900,3.24164,6.0694,1.551757,4.758784
4970,6.077645,8.353413,1.904084,1.88699
5040,9.952629,6.023685,7.222222,1.222222
5110,8,6.871014,9.88509,6.753086
5180,11.278383,9.278383,11,13.785375
5250,22,19.321017,11,12.45584
5320,22,17.110515,9.788677,12.605662
5390,21.450024,16.549976,11.636603,14.054641
5460,21,17,14.44898,13.204082
5530,19.479002,19.281497,15.370639,11.370639
5600,17.268435,13.939523,13.953917,11.707702
5670,18.397727,14.397727,9.213957,11.427913
5740,19.988636,15.988636,10.135616,12.728769
5810,20.130682,16.565341,10.599078,10.885451
5880,17.744318,15.372159,4.147465,9.042133
5950,15.357955,14.178977,4.900592,8.099408
6020,13.309659,12.647727,7.466754,8.822251
6090,11.321023,11.056818,10.231731,6.768269
6160,11.267302,10.844868,11.665569,6.665569
6230,14.36174,14.042611,10.825543,9.936142
6300,13.121517,13.121517,6.946675,10.982225
6370,8.197735,10.011325,4.861093,9.138907
6440,7.631607,7.824524,6.704411,7.647795
6510,8.143628,7.856372,7.452271,6.452271
6580,5.107875,6.026969,6,5.782093
6650,9.193706,9.354965,6.234365,8.648453
6720,12.087803,12.087803,7.961159,6.038841
6790,11.893841,10.787682,7.0395,6.9605
6860,8.538876,7.359251,7.289982,5.177504
6930,5.534656,5.267328,2.369069,6.407733
7000,7,6,2.551845,4.448155
7070,7,6,3.13181,1.26362
7140,6.423983,4.847965,2.492091,1.59051
7210,8.140611,6.140611,6.671353,9.300527
7280,15.793457,13.793457,7.676626,13.441125
7350,19.341995,16.658005,12.945518,13
7420,19.930626,16.069374,13.057996,11.884007
7490,19.480743,14.961487,13.504394,6.748682
7560,18.568413,14.32369,7.439367,8.520211
