Age,Dust
375.000,0.259
400.0,0.329
425.000,0.652
450.00,0.341
475.000,0.312
500.0,0.256
525.000,0.273
550.00,0.207
575.000,0.206
600.0,0.205
625.000,0.231
650.00,0.311
675.000,0.391
700.0,0.272
725.000,0.299
750.00,0.351
775.000,0.486
800.0,0.350
825.000,0.725
850.00,0.708
875.000,0.425
900.0,0.333
925.000,0.310
950.00,0.293
975.000,0.281
1000,0.289
1025.000,0.475
1050.00,0.386
1075.000,0.280
1100.0,0.318
1125.000,0.345
1150.00,0.328
1175.000,0.316
1200.0,0.317
1225.000,0.454
1250.00,0.387
1275.000,0.299
1300.0,0.319
1325.000,0.388
1350.00,0.497
1375.000,0.406
1400.0,0.381
1425.000,0.408
1450.00,0.360
1475.000,0.331
1500.0,0.329
1525.000,0.319
1550.00,0.268
1575.000,0.294
1600.0,0.269
1625.000,0.297
1650.00,0.280
1675.000,0.276
1700.0,0.280
1725.000,0.221
1750.00,0.272
1775.000,0.229
1800.0,0.369
1825.000,0.423
1850.00,0.358
1875.000,0.330
1900.0,0.546
1925.000,0.510
1950.00,0.376
1975.000,0.264
2000,0.374
2025.000,0.379
2050.00,0.410
2075.000,0.263
2100.0,0.411
2125.000,0.554
2150.00,0.303
2175.000,0.305
2200.0,0.297
2225.000,0.308
2250.00,0.245
2275.000,0.470
2300.0,0.347
2325.000,0.322
2350.00,0.374
2375.000,0.241
2400.0,0.265
2425.000,0.342
2450.00,0.283
2475.000,0.252
2500.0,0.278
2525.000,0.290
2550.00,0.403
2575.000,0.274
2600.0,0.255
2625.000,0.186
2650.00,0.235
2675.000,0.234
2700.0,0.242
2725.000,0.314
2750.00,0.250
2775.000,0.250
2800.0,0.201
2825.000,0.212
2850.00,0.262
2875.000,0.228
2900.0,0.262
2925.000,0.288
2950.00,0.253
2975.000,0.272
3000,0.276
3025.000,0.249
3050.00,0.208
3075.000,0.276
3100.0,0.281
3125.000,0.316
3150.00,0.477
3175.000,0.555
3200.0,0.364
3225.000,0.327
3250.00,0.338
3275.000,0.434
3300.0,0.526
3325.000,0.379
3350.00,0.410
3375.000,0.427
3400.0,0.472
3425.000,0.417
3450.00,NaN
3475.000,0.322
3500.0,0.299
3525.000,0.344
3550.00,0.381
3575.000,0.367
3600.0,0.376
3625.000,0.341
3650.00,0.282
3675.000,0.189
3700.0,0.220
3725.000,0.258
3750.00,0.316
3775.000,0.507
3800.0,0.368
3825.000,0.238
3850.00,0.324
3875.000,0.343
3900.0,0.332
3925.000,0.281
3950.00,0.289
3975.000,0.337
4000,0.271
4025.000,0.344
4050.00,0.334
4075.000,0.376
4100.0,0.307
4125.000,0.378
4150.00,0.377
4175.000,0.363
4200.0,0.231
4225.000,0.348
4250.00,0.426
4275.000,0.433
4300.0,0.311
4325.000,0.312
4350.00,0.312
4375.000,0.285
4400.0,0.434
4425.000,0.381
4450.00,0.294
4475.000,0.223
4500.0,0.232
4525.000,0.260
4550.00,0.319
4575.000,0.287
4600.0,0.285
4625.000,0.328
4650.00,0.342
4675.000,0.270
4700.0,0.229
4725.000,0.216
4750.00,0.190
4775.000,0.201
4800.0,0.244
4825.000,0.246
4850.00,0.246
4875.000,0.255
4900.0,0.575
4925.000,0.689
4950.00,0.607
4975.000,0.532
5000,0.528
5025.000,0.508
5050.00,0.465
5075.000,0.277
5100.0,0.451
5125.000,0.387
5150.00,0.431
5175.000,0.360
5200.0,0.349
5225.000,0.505
5250.00,0.390
5275.000,0.298
5300.0,0.382
5325.000,0.379
5350.00,0.414
5375.000,0.376
5400.0,0.305
5425.000,0.350
5450.00,0.383
5475.000,0.424
5500.0,0.436
5525.000,0.317
5550.00,0.321
5575.000,0.352
5600.0,0.276
5625.000,0.323
5650.00,0.440
5675.000,0.376
5700.0,0.455
5725.000,0.427
5750.00,0.411
5775.000,0.413
5800.0,0.354
5825.000,0.436
5850.00,0.429
5875.000,0.507
5900.0,NaN
5925.000,NaN
5950.00,NaN
5975.000,0.295
6000,0.262
6025.000,0.251
6050.00,0.280
6075.000,0.262
6100.0,0.349
6125.000,0.491
6150.00,0.423
6175.000,0.438
6200.0,0.386
6225.000,0.327
6250.00,0.304
