Age, Clay, Silt, Sand,Sand_Silt
9191,48.8,41.8,9.4,51.2
9155,39.2,45.9,14.9,60.8
9120,40.6,45.4,14,59.4
9084,51.6,37.9,10.5,48.4
9048,60.8,34.8,4.4,39.2
9012,60,35,4.9,39.9
8975,54.8,32.6,12.6,45.2
8938,59,40.4,0.7,41.1
8900,26,73.5,0.5,74
8862,21.8,75.2,3,78.2
8823,20.6,76,3.4,79.4
8784,27.5,68.7,3.8,72.5
8745,42.3,56,1.7,57.7
8705,32.9,67,0,67
8664,42.3,55.9,1.8,57.7
8622,51.4,48.1,0.5,48.6
8580,25.1,74.9,0,74.9
8538,28.8,71.2,0,71.2
8494,32.1,67.8,0,67.8
8450,26.2,73.8,0,73.8
8407,23.1,76.1,0.8,76.9
8363,29.8,68.2,1.9,70.1
8318,29.3,70.5,0.1,70.6
8273,41.8,57.8,0.4,58.2
8227,43.9,56.1,0,56.1
8181,48.1,49.4,2.5,51.9
8134,51.3,48.6,0.1,48.7
8086,55,44.9,0,44.9
8038,44.4,55.3,0.3,55.6
7990,47.1,51.3,1.5,52.8
7942,49.7,49.9,0.3,50.2
7893,49.7,49.7,0.7,50.4
7844,27.5,67.2,5.3,72.5
7795,25.8,69.2,5,74.2
7746,25.1,69,5.9,74.9
7697,24.2,70.8,5,75.8
7648,25.3,70.1,4.6,74.7
7599,26.3,70.1,3.6,73.7
7550,28.5,69,2.6,71.6
7501,26.5,69.1,4.4,73.5
7452,27,68.6,4.4,73
7403,30.5,65.4,4.1,69.5
7355,44.8,55,0.2,55.2
7306,25.7,74.1,0.2,74.3
7258,26.2,71.8,1.9,73.7
7210,30.6,68,1.4,69.4
7162,29.7,70.3,0,70.3
7114,38.9,60.9,0.2,61.1
7066,48.7,51.3,0,51.3
7018,48.1,51.7,0.2,51.9
6970,46.7,53.3,0,53.3
6923,52.5,47,0.5,47.5
6875,51,47.3,1.7,49
6827,47,49.9,3.1,53
6779,42.1,54.1,3.8,57.9
6731,42.4,55.3,2.3,57.6
6683,46.6,52.6,0.8,53.4
6635,50.3,47.1,2.6,49.7
6586,46.6,49.2,4.2,53.4
6538,43.2,53.9,2.9,56.8
6489,43.8,52.6,3.6,56.2
6440,48.6,50.4,0.9,51.3
6391,46.3,50.8,2.9,53.7
6341,46.8,49.7,3.5,53.2
6291,53.1,45.2,1.7,46.9
6241,56.6,41.2,2.2,43.4
6190,51,45.4,3.6,49
6140,57.1,39.9,3,42.9
6089,57,40.9,2.1,43
6038,58.9,39.8,1.3,41.1
5986,56.4,42.2,1.4,43.6
5935,49.2,49.2,1.6,50.8
5883,16.5,65.6,17.8,83.4
5831,25,69.4,5.6,75
5779,42.4,56.6,1,57.6
5727,52,47.5,0.5,48
5674,61.8,38,0.2,38.2
5622,56.3,43.6,0.1,43.7
5569,51.2,48.1,0.7,48.8
5516,48.3,51.1,0.6,51.7
5463,43.3,55.6,1,56.6
5410,45.1,53.6,1.3,54.9
5357,44.7,53.8,1.6,55.4
5303,31,63.6,5.4,69
5250,30.3,66.2,3.5,69.7
5196,40.3,58.5,1.2,59.7
5143,44.6,54.1,1.3,55.4
5089,37.7,59.4,3,62.4
5036,44.6,54.1,1.3,55.4
4983,46,53,1,54
4930,40.6,58.2,1.2,59.4
4878,47.1,51.8,1.2,53
4826,51.3,48.4,0.3,48.7
4774,49.9,48.7,1.3,50
4723,44.4,53.4,2.2,55.6
4673,45.2,53.5,1.3,54.8
4624,42.9,55.6,1.5,57.1
4575,45,53.1,1.9,55
4528,46.8,51.7,1.5,53.2
4482,52,47.6,0.3,47.9
4437,49.3,49.5,1.2,50.7
4395,53.9,45.6,0.6,46.2
4354,50.8,48.7,0.5,49.2
4315,48.3,51.1,0.6,51.7
4278,52.7,46.5,0.8,47.3
4242,49.5,49.9,0.7,50.6
4208,46.3,50.2,3.6,53.8
4175,46.2,52,1.7,53.7
4144,49,49.9,1.1,51
4113,48.2,50.6,1.2,51.8
4083,42.1,55.5,2.4,57.9
4054,43.4,50.7,5.8,56.5
4025,55.1,43.1,1.8,44.9
3997,41.2,47.4,11.4,58.8
3969,46.8,46.1,7.1,53.2
3942,38.1,57.4,4.5,61.9
3914,41.4,55.3,3.3,58.6
3886,41.2,54.5,4.3,58.8
3858,47.6,47.4,4.9,52.3
3830,55,39,6,45
3802,43.4,51.6,5,56.6
3773,53.1,43.4,3.5,46.9
3744,59.4,39.5,1.1,40.6
3714,62.4,37.3,0.4,37.7
3683,54.2,41,4.8,45.8
3652,52.3,41.9,5.8,47.7
3620,50.3,44.9,4.8,49.7
3588,56.8,42.2,0.9,43.1
3555,43.3,54,2.7,56.7
3521,56.1,43.6,0.4,44
3487,51.2,40.5,8.3,48.8
3453,54.3,40.6,5.1,45.7
