Age,d (0.1),d (0.5),d (0.9),Result 0.02µm-3.89µm,Result 3.90µm-7.79µm,Result 7.80µm-15.59µm,Result 15.60µm-30.99µm,Result 31.00µm-62.49µm,Result 62.50µm-124.99µm,Result 125.00µm-249.99µm,Result 250.00µm-499.99µm,Result 500.00µm-1000.00µm,Result 1000.01µm-2000.00µm,Mode,Clay,Silt,Sand
-43.52,2.77,22.92,137.86,14.08,10.53,14.89,18.9,16.99,12.91,9.31,2.3,0,0,25.14,14.08,61.31,24.52
-42.61,2.16,12.56,47.48,19.99,16.31,20.42,22.26,15.54,4.62,0.66,0.08,0,0,20.35,19.99,74.54,5.36
-41.71,2.46,15.71,55.65,16.72,13.48,19.47,24.32,17.96,5.97,1.16,0.81,0.01,0,22.66,16.72,75.22,7.95
-40.81,2.28,12.99,49.34,18.91,16.29,20.44,22.22,16.13,5.01,0.6,0.29,0,0,21,18.91,75.08,5.89
-39.9,2.47,17.19,69.38,16.18,12.52,18.2,22.23,18.87,8.01,1.56,1.85,0.48,0,24.35,16.18,71.81,11.91
-39,2.22,19.85,88.62,16.6,10.85,15.62,21.01,20.04,8.64,1.42,1.77,3.29,0.68,29.93,16.6,67.52,15.79
-38.1,3.21,29.43,878.22,11.83,8.71,13.8,16.81,12.07,4.13,0.67,6.87,18.21,6.84,718.36,11.83,51.38,36.72
-37.19,2.24,19.8,637.47,16.72,10.87,15.77,19.24,14.49,5,0.86,4.07,9.1,3.8,22.5,16.72,60.38,22.82
-36.29,2.23,15.15,51.3,17.61,13.44,19.84,24.51,18.24,5.45,0.45,0.36,0.01,0,22.91,17.61,76.02,6.26
-35.39,2.08,18.36,120.4,18.31,12.01,15.48,18,16.72,9.83,2.78,3.33,3.43,0.03,25.69,18.31,62.2,19.4
-34.48,2.17,12.72,61.3,19.53,16.21,20.31,19.6,14.52,6.37,1.9,1.32,0.13,0,14.4,19.53,70.64,9.71
-33.58,2.68,16.36,60.47,14.98,13.05,20.22,24.76,17.41,5.69,1.49,1.97,0.33,0,21.63,14.98,75.44,9.49
-32.68,2.19,14.28,51.53,18.69,14.07,20.07,23.57,16.89,5.4,1.03,0.18,0,0,21.09,18.69,74.59,6.61
-31.77,2.04,12.24,46.85,20.21,16.2,21.39,21.91,15.03,4.8,0.34,0,0,0,17.28,20.21,74.53,5.14
-30.87,2.42,19.13,96.98,15.64,11.13,16.97,21.35,17.64,10.26,5.12,1.74,0.06,0,23.12,15.64,67.1,17.18
-29.97,2.2,14.79,76.76,18.14,13.93,19.46,20.12,15.09,8.37,3.28,1.39,0.11,0,16.83,18.14,68.6,13.15
-29.06,2.26,17.28,78.13,17.3,12.35,17.28,20.8,18.06,9.9,3.23,0.98,0.01,0,23.77,17.3,68.48,14.12
-28.16,2.37,19.7,142.82,16.59,11.72,15.58,17.92,15.67,10.74,7.8,3.74,0.15,0,22.64,16.59,60.9,22.42
-27.26,2.63,21.15,110.52,14.59,10.73,15.93,19.95,17.88,12.68,6.43,1.67,0.05,0,24.12,14.59,64.49,20.83
-26.35,2.3,17.47,76.62,16.34,11.78,18.21,22.24,17.78,9.33,3.16,1.06,0.01,0,21.83,16.34,70.01,13.55
-25.45,2.17,13.89,57.56,18.8,14.82,19.89,21.15,16.76,7.41,1.05,0.02,0,0,18.8,18.8,72.62,8.47
-24.6,2.25,16.19,70.93,17.38,13.03,18.38,21.46,17.43,8.87,2.63,0.73,0.01,0,22.05,17.38,70.29,12.23
-23.8,2.32,17.51,89.99,17.26,12.98,16.62,18.58,17.32,11.88,4.44,0.83,0,0,23.79,17.26,65.5,17.15
-23,2.4,18.03,80.77,16.33,12.4,17.12,19.7,18.7,12.35,2.92,0.38,0.01,0,23.94,16.33,67.91,15.66
-22.2,2.27,15.77,87.35,17.51,13.27,18.81,20.22,14.83,9.79,4.52,0.94,0.01,0,17.96,17.51,67.13,15.26
-21.4,2.38,19.96,109.63,16.54,11.87,15.39,16.92,16.27,15.46,7.08,0.39,0,0,19.96,16.54,60.45,22.92
-20.6,1.72,7.82,31.3,28.21,21.61,23.17,16.71,7.91,2.2,0.05,0,0,0,9.46,28.21,69.4,2.25
-19.8,2.81,20.7,103.4,13.76,11.24,16.82,19.9,18.32,12.57,5.4,1.79,0.11,0,23.32,13.76,66.28,19.87
-19,1.94,15.38,99.45,21.03,13.78,15.45,15.13,14.71,13.79,5.44,0.58,0,0,14.85,21.03,59.07,19.81
-18.2,1.65,9.46,55.41,27.21,17.53,18.66,16.67,11.27,4.89,1.16,1.63,0.85,0,11.72,27.21,64.13,8.54
-17.4,1.64,7.78,47.07,29.94,20.01,18.57,14.74,10.02,4.53,0.87,0.93,0.26,0,5.59,29.94,63.34,6.59
-16.6,1.77,9.97,70.09,25.64,17.63,18.59,15.74,11.03,5.78,2.01,2.38,1.08,0,10.19,25.64,62.99,11.25
-15.8,1.77,9.97,55.18,25.23,17.7,19.93,17.32,11.18,4.3,0.96,2.07,1.19,0,11.87,25.23,66.14,8.52
-15,1.71,8.28,35.53,27.61,20.4,21.84,17.55,9.16,2.8,0.45,0.06,0,0,10.6,27.61,68.95,3.31
-14.2,2.04,9.86,71.55,23.33,19.55,19.97,15,10.34,7.6,3.78,0.3,0,0,8.21,23.33,64.86,11.68
-13.4,1.7,8.15,43.19,28.25,20.3,20.5,15.57,9.58,4.01,1.21,0.46,0,0,8.43,28.25,65.94,5.68
-12.59,1.56,7.82,50.28,29.44,20.38,19.72,13.98,8.37,3.61,1.83,2.18,0.37,0,7.38,29.44,62.44,7.99
-11.76,1.67,6.57,28.09,32.16,23.65,21.6,13.9,6.27,2.02,0.25,0,0,0,6.3,32.16,65.41,2.28
-10.93,1.25,5.26,26.94,40.26,21.81,18.21,11.32,5.63,2.33,0.29,0,0,0,4.07,40.26,56.98,2.62
-10.1,1.65,6.45,27.6,32.82,23.41,21.14,14.27,6.33,1.82,0.07,0,0,0,5.32,32.82,65.14,1.88
-9.27,1.77,7.45,28.13,29.05,22.39,23.35,16.75,6.56,1.59,0.16,0,0,0,9.64,29.05,69.05,1.75
-8.45,1.61,6.76,25.64,31.93,22.82,22.77,15.54,5.7,1.06,0.03,0,0,0,8.36,31.93,66.83,1.09
-7.62,1.73,7.47,30.8,28.94,22.42,22.86,15.75,7.07,2.39,0.42,0.02,0,0,8.55,28.94,68.09,2.83
-6.79,1.83,8.72,36.42,25.33,20.8,23.36,17.55,9.16,3.08,0.59,0,0,0,10.11,25.33,70.87,3.66
-5.96,1.67,7.24,26.83,29.53,23,23.8,15.96,6.05,1.3,0.23,0,0,0,8.79,29.53,68.8,1.53
-5.13,1.68,7.01,26.29,29.93,23.83,23.55,15.21,6.01,1.31,0.01,0,0,0,7.8,29.93,68.6,1.32
-4.31,1.6,7.2,27.47,30.15,22.52,23.26,15.99,6.51,1.37,0.06,0,0,0,8.78,30.15,68.28,1.43
-3.48,1.66,7.41,33.67,29.47,22.15,21.93,15.09,7.11,2.41,0.78,0.81,0.11,0,7.81,29.47,66.28,4.11
-2.65,1.79,8.35,33.66,26.39,21.19,23.42,17.45,7.97,2.28,0.39,0.64,0.12,0,10.2,26.39,70.03,3.43
-1.82,1.69,8.8,36.59,26.42,19.67,22.1,18.41,10.32,2.91,0.04,0,0,0,10.99,26.42,70.5,2.95
-0.99,1.77,9.92,60.24,24.62,18.14,20.47,16.25,10.85,5.63,1.92,1.63,0.37,0,10.47,24.62,65.7,9.55
-0.16,1.71,9.13,38.76,25.7,19.21,22.45,18.38,9.98,3.2,0.41,0.46,0.08,0,11.52,25.7,70.01,4.15
0.66,1.6,9.79,42.65,25.73,17.4,21.53,19.05,11.14,3.67,0.47,0.68,0.21,0,13.17,25.73,69.12,5.03
1.49,1.42,7.08,33.44,32.17,20.7,20.52,15.23,8.33,2.68,0.24,0,0,0,7.84,32.17,64.79,2.91
2.32,1.51,7.39,37.25,31.18,20.33,19.83,15.48,9.05,3.29,0.63,0.08,0,0,7.07,31.18,64.68,4
3.15,1.47,7.1,31.69,31.58,21.31,21.3,15.32,7.86,2.36,0.13,0,0,0,8.05,31.58,65.79,2.5
3.98,1.51,7.37,29.09,30.45,21.33,22.71,16.48,7.12,1.61,0.15,0.02,0,0,9.6,30.45,67.64,1.77
4.8,1.53,7.63,35.4,29.81,20.77,21.57,15.6,8.6,3.18,0.34,0,0,0,8.99,29.81,66.54,3.52
5.63,1.61,7.63,29.93,29.55,21.07,22.75,17.11,7,1.73,0.55,0.1,0,0,10.57,29.55,67.93,2.39
6.46,1.45,5.8,23.61,35.92,24.4,21.01,12.28,4.83,1.3,0.12,0,0,0,5.53,35.92,62.51,1.42
7.29,1.08,4.61,23.14,44.44,21.72,17.12,10,4.66,1.78,0.15,0,0,0,3.82,44.44,53.5,1.92
,,,,,,,,,,,,,,,,,
8.94,2.37,17.99,123.88,17.08,13.57,15.95,15.5,14.48,13.47,8.34,1.51,0,0,13.44,17.08,59.5,23.32
9.77,1.46,7.69,38.99,30.33,19.99,20.44,15.49,8.84,3.55,1.02,0.21,0,0,8.47,30.33,64.75,4.78
10.6,1.36,5.79,30.42,37.17,21.93,18.39,12.64,7.12,2.35,0.24,0.02,0,0,4.51,37.17,60.08,2.61
11.43,1.55,8.17,36.72,28.46,20.01,21.43,16.97,9.35,3.15,0.49,0.02,0,0,9.59,28.46,67.76,3.65
12.26,1.71,8.45,33.06,26.58,20.64,23.3,18.16,8.36,2.35,0.39,0.08,0,0,10.79,26.58,70.46,2.82
13.09,1.48,6.86,29.73,32.41,21.67,21.56,14.87,6.87,2.24,0.24,0,0,0,8.08,32.41,64.97,2.48
13.91,1.57,7.48,33.5,29.66,21.61,22.27,15.17,7.09,2.52,1.22,0.33,0,0,8.62,29.66,66.14,4.06
14.74,1.48,7.48,32.06,30.36,20.92,22.5,15.57,7.47,2.54,0.28,0.19,0.04,0,9.49,30.36,66.45,3.05
15.57,1.67,8.28,34.43,27.33,20.58,22.74,17.33,9.06,2.66,0.17,0,0,0,10.04,27.33,69.7,2.83
16.4,1.62,7.66,30.5,29.21,21.29,22.93,16.72,7.56,2.05,0.11,0,0,0,9.88,29.21,68.49,2.16
17.23,1.63,7.89,33.12,28.69,20.82,22.47,16.75,8.36,2.61,0.16,0,0,0,10.01,28.69,68.41,2.77
18.05,1.56,6.4,25.65,32.82,24.07,22.26,13.37,5.13,1.55,0.43,0.23,0,0,6.69,32.82,64.83,2.2
18.88,1.7,9.23,46.33,25.17,19.49,21.1,16.79,11.66,5.33,0.34,0,0,0,9.17,25.17,69.03,5.67
19.71,2.73,25.63,145.59,14.07,10.69,14.12,15.23,15.4,16.98,11.75,1.68,0,0,94.77,14.07,55.44,30.41
20.54,2,14.39,90.49,19.45,14.52,18.11,16.98,14.08,11.59,4.61,0.54,0.02,0,13.69,19.45,63.69,16.76
21.37,1.68,10.03,43.45,23.55,18,23.92,18.93,9.62,4.71,0.98,0.15,0.02,0,12.34,23.55,70.47,5.86
22.19,1.51,11.54,99.66,26.38,15.12,14.43,11.85,12.47,13.65,5.46,0.52,0.01,0,6.62,26.38,53.86,19.65
23.02,1.54,8.59,37.61,28.04,18.98,21.38,18.03,9.14,3.24,0.78,0.29,0,0,12.27,28.04,67.52,4.31
23.85,1.32,8.37,48.24,30.2,17.82,18.27,15.65,11.6,5.28,0.81,0.26,0,0,8.63,30.2,63.33,6.35
24.68,1.63,11.56,92.47,24.11,15.67,18,16.02,11.22,8.22,5.29,1.32,0.03,0,12.37,24.11,60.91,14.87
25.51,1.98,12.8,49.7,20.72,15.77,19.22,21.39,17.21,5.39,0.19,0,0,0,23.79,20.72,73.58,5.58
26.34,1.61,10.32,44.48,25.71,16.8,18.96,19.87,14.09,4.26,0.21,0,0,0,20.02,25.71,69.71,4.46
27.16,0.96,3.78,18.37,51.01,22.12,14.52,6.89,3.41,1.81,0.11,0,0,0,3.34,51.01,46.94,1.92
27.99,2.2,15.63,72.17,17.46,13.22,19.16,21.15,16.39,9.31,2.63,0.45,0.12,0,18.98,17.46,69.93,12.51
28.82,2.86,39.47,152.13,13.03,9.01,11.66,11.79,15.54,23.19,14.07,1.65,0,0,95.25,13.03,48,38.9
29.65,2.13,13.95,51.65,18.26,14.26,21.26,23.62,15.67,5.84,0.67,0.22,0.09,0,18.68,18.26,74.81,6.82
30.48,1.7,10.77,42.33,23.38,16.77,21.99,20.9,12.65,4.02,0.17,0,0,0,14.97,23.38,72.31,4.19
31.3,2.3,13.86,41.69,17.72,14.75,21.75,26.6,16.24,2.53,0.06,0.16,0.07,0,21.44,17.72,79.34,2.83
32.13,1.38,6.5,37.02,33.65,22.07,19.23,12.47,8.38,3.83,0.23,0,0,0,5.97,33.65,62.16,4.06
32.96,1.65,9.11,46.54,25.79,19.33,21.13,16.92,10.19,4.84,1.58,0.09,0,0,9.7,25.79,67.57,6.51
33.79,1.66,7.19,31.66,28.98,23.85,22.69,14.03,7.42,2.81,0.07,0,0,0,7.28,28.98,67.99,2.88
34.62,1.73,7.74,40.35,27.64,22.49,21.95,14.27,7.96,4.07,1.32,0.16,0,0,7.55,27.64,66.67,5.55
35.44,1.7,6.74,31.48,30.4,24.82,21.68,12.75,6.65,2.89,0.64,0.02,0,0,6.34,30.4,65.9,3.55
36.27,1.23,5.46,39.91,39.55,20.38,15.56,11.18,7.69,3.94,1.4,0.16,0,0,3.8,39.55,54.82,5.5
37.1,2.26,6.64,15.87,24.85,33.72,30.77,9.45,0.78,0.25,0,0,0,0,7.43,24.85,74.72,0.25
