Age,Age_Error,record_ID,site_name,record_name,genus,lon_E,lat_N,Var_d,Var_d_Error,Var_Sr,Var_Sr_Error,Seas_d,Seas_d_Error,Seas_Sr,Seas_Sr_Error
-36,0,62,Huon Peninsula,MT03-7,Tridacna,147.62,-6.13,0.00,,,,0.00,,,
-29,0,76,Huon Penninsula,HU,Porites,147.71,-6.27,,,0.00,,,,0.00,
-28.5,18,141,South Peru,ICA+Llostay,Mesodesma,-75.57,-14.87,0.00,,,,0.00,,,
-17,0,58,Amédée Lighthouse,Stack4,Porites,166.47,-22.48,0,,,,0,,,
0,0,11,Fanning,fann_mod_spl,Porites,-159.35,3.85,0.00,,,,0.00,,,
12,0,20,Chritsmas,xmas_mod_spl,Porites,-157.40,1.87,0.00,,,,0.00,,,
22,0,139,Espiritu Santo,04vanu01a,Porites,167.20,-15.70,0.00,,0.00,,0.00,,0.00,
64,5,1,Palmyra,modern,Porites,-162.10,5.88,0.00,,,,0.00,,,
70,0,43,Madang,DT91-7,Porites,145.82,-5.22,0.00,,,,0.00,,,
296,5,3,Palmyra,sb13,Porites,-162.10,5.88,-0.38,0.17,,,-0.19,0.08,,
301,0,66,Amédée Lighthouse,"mean(PAA,PAC1,PAD1)",Porites,166.47,-22.48,,,-0.34,0.11,,,0.01,0.02
315,5,10,Palmyra,spl17,Porites,-162.10,5.88,0.24,0.28,,,-0.11,0.07,,
434,8,21,Chritsmas,m2,Porites,-157.40,1.87,-0.21,0.24,,,0.02,0.10,,
457.5,72,128,South Peru,ICA-IS2,Mesodesma,-75.56,-14.87,-0.13,0.32,,,-0.19,0.03,,
486.5,41,127,South Peru,Chala,Mesodesma,-74.21,-15.77,-0.38,0.25,,,-0.22,0.03,,
538,5,4,Palmyra,sb6,Porites,-162.10,5.88,-0.53,0.14,,,-0.31,0.07,,
545,5,5,Palmyra,sb5,Porites,-162.10,5.88,-0.20,0.22,,,-0.22,0.07,,
582.5,67,129,South Peru,Lomas,Mesodesma,-74.85,-15.57,-0.28,0.29,,,-0.27,0.03,,
623,5,6,Palmyra,sb7,Porites,-162.10,5.88,0.04,0.33,,,-0.08,0.10,,
633,5,9,Palmyra,spl14,Porites,-162.10,5.88,-0.41,0.11,,,-0.25,0.05,,
801,5,7,Palmyra,sb17,Porites,-162.10,5.88,-0.37,0.14,,,-0.19,0.06,,
