Age,Deuterium2007,TempAnomaly
801662,-440.9,-8.82
800589,-441.42,-8.92
799501,-441.1,-8.88
798443,-439,-8.54
797408,-440.2,-8.73
796449,-439,-8.53
795556,-437.3,-8.23
794708,-432,-7.33
793876,-427.1,-6.51
793079,-423.5,-5.91
792331,-421.8,-5.61
791618,-418.6,-5.05
790937,-414,-4.27
790282,-410.7,-3.70
789635,-407.2,-3.09
789019,-404.4,-2.59
788442,-403.3,-2.37
787885,-399.8,-1.75
787298,-392.7,-0.54
786706,-393.4,-0.63
786105,-396.1,-1.04
785470,-396.3,-1.05
784830,-397,-1.15
784173,-400.5,-1.71
783528,-400.54,-1.70
782856,-402.7,-2.04
782180,-401.5,-1.84
781519,-404.2,-2.28
780863,-404.8,-2.37
780209,-403.6,-2.17
779549,-403.4,-2.13
778873,-403.6,-2.17
778201,-404.6,-2.34
777536,-406.6,-2.67
776861,-406.7,-2.70
776159,-406.6,-2.69
775442,-408.2,-2.96
774703,-411.4,-3.47
773957,-413.6,-3.82
773239,-415.6,-4.13
772553,-418.2,-4.52
771907,-417.3,-4.32
771249,-415.23,-3.93
770559,-414.6,-3.80
769831,-415,-3.84
769072,-419.2,-4.54
768299,-423.9,-5.33
767558,-427.8,-6.00
766880,-430.1,-6.40
766238,-429,-6.22
765628,-425,-5.56
765016,-422.2,-5.10
764399,-420.1,-4.76
763761,-419.8,-4.72
763083,-422.3,-5.16
762387,-425.8,-5.78
761692,-431.3,-6.72
761022,-434.8,-7.33
760417,-434.3,-7.27
759838,-433.3,-7.12
759282,-429,-6.43
758757,-426.8,-6.07
758265,-424.9,-5.77
757758,-422,-5.30
757220,-420.6,-5.09
756643,-422.9,-5.50
756060,-427.2,-6.25
755475,-432.8,-7.22
754886,-434.5,-7.54
754300,-435.8,-7.79
753716,-436.6,-7.97
753139,-438,-8.24
752561,-438.5,-8.37
751990,-438.5,-8.42
751428,-439.3,-8.59
750878,-439,-8.58
750322,-438.3,-8.50
749766,-437.1,-8.32
749203,-437.8,-8.44
748642,-438.7,-8.60
748091,-439.2,-8.69
747520,-438.78,-8.63
746947,-438.7,-8.62
746375,-438.3,-8.56
745782,-438.3,-8.56
745171,-437.4,-8.41
744545,-439.2,-8.67
743934,-440.5,-8.84
743325,-441.4,-8.95
742707,-439.4,-8.60
742086,-438.7,-8.47
741465,-437.4,-8.25
740867,-437.4,-8.24
740294,-436.5,-8.08
739778,-431.1,-7.16
739277,-425.9,-6.27
738799,-422.2,-5.62
738294,-420.9,-5.38
737809,-417.4,-4.76
737354,-416.2,-4.52
736837,-416.1,-4.47
736355,-413.6,-4.03
735855,-411.9,-3.72
735336,-413.7,-3.99
734843,-414.8,-4.15
734327,-413.7,-3.95
733803,-413.7,-3.93
733241,-412.9,-3.79
732602,-415.31,-4.20
731946,-419.2,-4.85
731331,-421.8,-5.28
730709,-421.4,-5.23
730050,-421.8,-5.31
729369,-424,-5.69
728662,-424.7,-5.83
727948,-425.9,-6.05
727213,-425.2,-5.96
726535,-425.9,-6.10
725802,-419.48,-5.07
724982,-419.9,-5.18
724233,-423.2,-5.75
723478,-431.5,-7.14
722534,-438.4,-8.32
721643,-440.9,-8.77
720764,-435.4,-7.90
720001,-430.7,-7.13
719147,-429.3,-6.92
718378,-426.6,-6.47
717625,-425.12,-6.23
716860,-421.29,-5.59
716162,-419.37,-5.26
715479,-419.2,-5.20
714808,-413.5,-4.23
714092,-412.4,-4.02
713410,-411.9,-3.90
712743,-414.53,-4.29
712087,-414.3,-4.19
711436,-413.8,-4.05
710806,-413.8,-4.00
710178,-414.5,-4.06
709591,-413.7,-3.88
709011,-414.7,-4.02
708436,-411.7,-3.50
707870,-412.2,-3.56
707312,-413,-3.67
706780,-413.3,-3.70
706270,-413.7,-3.75
705770,-412.1,-3.46
705287,-410.7,-3.21
704825,-410.8,-3.21
704384,-410,-3.05
703956,-408.5,-2.78
703529,-406.7,-2.45
703114,-406.3,-2.36
702719,-407.3,-2.49
702339,-406.9,-2.40
701952,-404.8,-2.02
701564,-403.4,-1.77
701177,-405.9,-2.16
700784,-406.9,-2.31
700404,-407.8,-2.45
700027,-409.7,-2.75
699665,-408.2,-2.49
699317,-408.6,-2.55
698974,-406.9,-2.26
698634,-404.9,-1.92
698299,-404.5,-1.84
697970,-404.8,-1.88
697637,-405.2,-1.94
697310,-403.7,-1.69
696992,-404.8,-1.86
696673,-406.1,-2.07
696351,-404.8,-1.85
696030,-404.3,-1.77
695713,-405.2,-1.92
695392,-404.6,-1.83
695072,-405.2,-1.94
694761,-405.5,-2.00
694439,-405.9,-2.08
694129,-404.2,-1.82
693830,-404.4,-1.86
693514,-402.4,-1.55
693188,-402.6,-1.60
692871,-405.2,-2.04
692539,-407.2,-2.39
692210,-407.7,-2.50
691888,-408.8,-2.70
691562,-409,-2.75
691219,-407.4,-2.51
690880,-407.7,-2.59
690540,-410.4,-3.05
690193,-410.2,-3.05
689836,-410.6,-3.14
689486,-411.7,-3.35
689136,-413.7,-3.70
688786,-412.3,-3.50
688435,-411.3,-3.36
688070,-411.6,-3.44
687708,-411.8,-3.50
687342,-413.05,-3.73
686965,-414.3,-3.97
686589,-414.8,-4.07
686211,-416.7,-4.41
685823,-417.76,-4.61
685431,-417.7,-4.62
685025,-417.9,-4.68
684610,-418.7,-4.83
684198,-421,-5.23
683792,-422.3,-5.46
683371,-421.5,-5.34
682912,-420.5,-5.20
682433,-422.6,-5.58
681935,-425.09,-6.02
681449,-430.5,-6.95
680987,-432.7,-7.34
680542,-430.7,-7.02
680122,-427.2,-6.46
679721,-424.1,-5.95
679269,-419.2,-5.15
678780,-416.2,-4.67
678267,-422,-5.65
677788,-429.5,-6.90
677330,-432.11,-7.34
676871,-428.19,-6.71
676364,-423.08,-5.89
675849,-423.21,-5.94
675293,-426.77,-6.54
674722,-429.74,-7.05
674132,-432.45,-7.51
673520,-433.41,-7.68
672908,-435.22,-7.99
672290,-436.81,-8.25
671706,-436.25,-8.16
671102,-433,-7.62
670509,-430.97,-7.28
669852,-430.74,-7.24
669129,-437.1,-8.31
668348,-440.5,-8.89
667546,-440.7,-8.95
666722,-441,-9.03
665887,-441,-9.05
665075,-440.3,-8.94
664289,-437.1,-8.42
663513,-433.5,-7.82
662653,-434.54,-8.00
661743,-436.3,-8.30
660865,-438.4,-8.64
659970,-434.6,-8.02
659093,-436.7,-8.36
658255,-431.7,-7.52
657420,-430.93,-7.38
656550,-426.9,-6.71
655611,-427.9,-6.87
654607,-432.2,-7.58
653588,-434.2,-7.92
652589,-432.9,-7.72
651553,-430.2,-7.29
650556,-431.3,-7.47
649522,-428.9,-7.07
648431,-431.2,-7.46
647328,-433.4,-7.82
646222,-432.7,-7.71
645119,-432.5,-7.68
643907,-432.7,-7.73
642589,-435.5,-8.21
641262,-439.3,-8.86
639948,-439.1,-8.84
638664,-438,-8.68
637310,-436.1,-8.39
635956,-439.2,-8.92
634676,-439,-8.90
633312,-434.9,-8.24
631964,-438.3,-8.80
630645,-437.8,-8.72
629486,-435.8,-8.37
628490,-428.7,-7.17
627597,-419,-5.54
626800,-412.5,-4.42
626073,-405.3,-3.19
625316,-399.6,-2.20
624562,-402.9,-2.69
623796,-402.9,-2.63
623054,-404.5,-2.84
622342,-402.9,-2.52
621644,-403.69,-2.59
620950,-400.1,-1.95
620278,-400.5,-1.96
619576,-403.37,-2.38
618904,-403.14,-2.29
618205,-400.4,-1.79
617533,-403.7,-2.28
616895,-401.9,-1.94
616273,-399.3,-1.46
615672,-398.5,-1.28
615060,-396.9,-0.97
614466,-399.2,-1.30
613878,-397.9,-1.04
613310,-400.05,-1.35
612717,-398.44,-1.04
612130,-401.25,-1.46
611541,-401.29,-1.43
610985,-401.75,-1.47
610425,-400.74,-1.26
609854,-399.9,-1.09
609269,-401.7,-1.37
608674,-404.1,-1.74
608079,-405.8,-2.01
607474,-407.9,-2.35
606819,-411.51,-2.94
606161,-413.1,-3.21
605507,-414.6,-3.47
604834,-414.8,-3.51
604150,-417.2,-3.92
603474,-418.9,-4.22
602788,-418.6,-4.19
602124,-419.3,-4.33
601487,-418.6,-4.23
600791,-424.2,-5.18
600096,-422.9,-4.99
599400,-424.89,-5.35
598667,-425.8,-5.54
597892,-430.8,-6.42
597190,-432.3,-6.70
596546,-429.8,-6.31
595959,-424.4,-5.44
595401,-418.2,-4.42
594821,-414.9,-3.89
594256,-417.5,-4.32
593666,-419.3,-4.63
593083,-422,-5.09
592474,-423.2,-5.30
591862,-425.37,-5.68
591301,-426.7,-5.92
590816,-421.1,-4.99
590337,-411.9,-3.47
589830,-411.9,-3.48
589314,-415.32,-4.05
588778,-418.7,-4.62
588205,-422,-5.18
587620,-427.5,-6.11
587034,-431.1,-6.73
586521,-429.8,-6.52
585990,-423.5,-5.49
585485,-427.2,-6.10
584984,-425,-5.75
584446,-425.8,-5.90
583928,-431.7,-6.89
583449,-432.5,-7.03
582999,-428.1,-6.31
582592,-424.5,-5.72
582213,-419,-4.81
581846,-415.5,-4.23
581507,-414.8,-4.10
581193,-410.9,-3.45
580878,-407.1,-2.81
580598,-408.6,-3.04
580335,-404.3,-2.31
580084,-399.3,-1.46
579836,-397.1,-1.07
