Depth,Top,Bottom,Na_ppb,NH4_ppb,K_ppb,Mg_ppb,Ca_ppb,Cl_ppb,NO3_ppb,SO4_ppb,Top,Bottom,Age
3.19,2.59,3.79,4.598,3.241,1.017,0.984,6.212,17.372,140.131,73.004,-36.3,-34.3,-35.3
4.29,3.79,4.79,2.989,4.502,0.704,0.887,5.411,18.79,158.113,120.552,-34.3,-32.8,-33.6
5.29,4.79,5.79,5.977,3.421,1.486,0.936,4.409,17.017,117.809,108.545,-32.8,-30.5,-31.7
5.94,5.79,6.08,5.977,13.325,1.916,1.106,6.212,19.145,138.271,143.606,-30.5,-29.9,-30.2
6.65,6.08,7.21,6.667,5.042,1.095,2.042,11.222,22.69,146.332,134.481,-29.9,-27.7,-28.8
7.66,7.21,8.11,4.138,3.061,0.743,1.75,12.625,14.536,130.83,98.459,-27.7,-26.2,-27.0
8.62,8.11,9.12,6.437,3.061,0.547,1.434,4.609,19.145,103.548,116.71,-26.2,-24.2,-25.2
9.49,9.12,9.85,5.058,4.322,1.017,1.288,8.617,16.663,107.889,118.631,-24.2,-22.1,-23.2
10.07,9.85,10.29,8.046,4.502,1.056,1.568,7.615,17.017,199.656,192.596,-22.1,-21.3,-21.7
10.69,10.29,11.09,6.897,5.942,1.329,2.212,13.427,24.817,158.113,200.76,-21.3,-19.4,-20.4
11.51,11.09,11.92,4.598,4.142,0.86,1.422,8.617,17.727,125.25,119.592,-19.4,-17.5,-18.5
12.32,11.92,12.72,3.678,3.241,0.938,1.142,7.014,14.536,113.469,133.04,-17.5,-15.5,-16.5
13.12,12.72,13.51,2.069,1.981,0.743,0.583,4.609,10.281,89.287,85.972,-15.5,-13.5,-14.5
13.905,13.51,14.3,2.989,8.643,0.938,0.766,5.812,12.054,97.968,77.326,-13.5,-11.7,-12.6
14.695,14.3,15.09,5.977,4.322,1.017,1.215,9.218,15.245,96.108,103.742,-11.7,-9.7,-10.7
