Age,Depth,G. bulloides δ18O,G. bulloides δ13C,N. pachyderma s,Qz,Carb detr,Volcanic,Foram,IRD,Terr mine,SST sum,Foram plankt arctic,Foram plankt subpolar,Foram plankt subtropical,Foram plankt subtropica,Foram plankt tropical
0.000,0.02,0.27,-0.45,1.29,0.31,0.00,0.00,97.82,0.31,560,18.7,1.29,52.58,39.68,6.13,0.32
269.000,0.05,0.49,-0.55,0.86,0.12,0.00,0.00,96.97,0.12,1625,17.9,0.86,56.67,37.09,4.90,0.49
537.000,0.08,0.23,-0.36,0.51,0.00,0.00,0.00,98.07,0.00,426,18.2,0.51,57.91,36.22,4.59,0.77
806.000,0.11,0.63,-0.41,0.52,6.30,0.00,0.00,83.19,6.30,5333,18.3,0.52,58.22,36.29,3.92,1.04
1074.000,0.14,0.30,-0.37,0.76,0.00,0.00,0.00,82.00,0.00,5357,18.4,0.76,60.71,35.52,2.77,0.25
1343.000,0.17,0.25,-0.38,1.05,0.00,0.00,0.00,98.00,0.00,735,18.2,1.05,52.51,41.21,3.97,1.26
1611.000,0.20,0.32,-0.49,0.32,0.14,0.00,0.00,87.45,0.14,5412,19.0,0.32,51.50,44.71,2.84,0.63
1880.000,0.23,0.13,-0.49,1.32,0.30,0.00,0.00,91.12,0.30,3571,18.8,1.32,51.32,38.74,7.95,0.66
2148.000,0.26,0.07,-0.53,0.93,0.00,0.00,0.00,91.19,0.00,2471,18.2,0.93,58.70,32.48,7.66,0.23
2417.000,0.29,0.35,-0.54,0.66,0.00,0.00,0.00,99.14,0.00,323,17.4,0.66,58.21,36.32,4.38,0.44
2685.000,0.32,0.18,-0.53,0.95,0.00,0.00,0.00,99.08,0.00,370,18.3,0.95,58.16,35.50,4.44,0.95
2954.000,0.35,0.48,-0.60,0.75,0.00,0.00,0.00,99.03,0.00,1111,17.9,0.75,58.21,34.20,6.59,0.25
3222.000,0.38,0.18,-0.69,1.51,0.00,0.00,0.00,100.00,0.00,0,18.8,1.51,53.45,35.78,7.97,1.29
3491.000,0.41,0.27,-0.52,1.74,0.12,0.00,0.00,99.03,0.12,1026,18.6,1.74,57.69,35.98,4.22,0.37
3759.000,0.44,0.35,-0.55,0.79,0.00,0.00,0.00,98.10,0.00,714,17.5,0.79,58.38,35.50,5.13,0.20
4028.000,0.47,0.30,-0.58,2.10,0.00,0.00,0.00,98.21,0.00,800,18.4,2.10,53.74,39.49,4.44,0.23
4297.000,0.50,0.44,-0.54,1.05,0.74,0.00,0.00,96.04,0.74,1481,17.7,1.05,57.33,37.43,3.93,0.26
4565.000,0.53,0.46,-0.74,2.68,0.28,0.00,0.00,96.02,0.28,660,18.4,2.68,52.08,39.58,5.36,0.30
4834.000,0.56,0.33,-0.57,4.48,0.34,0.00,0.00,95.97,0.34,2667,18.7,4.48,51.43,38.89,4.66,0.54
5102.000,0.59,0.56,-0.43,3.17,0.80,0.00,0.00,93.31,0.80,4468,17.9,3.17,60.56,31.69,4.23,0.35
5371.000,0.62,0.52,-0.50,4.18,0.16,0.00,0.00,90.97,0.16,3836,18.7,4.18,56.00,35.82,3.64,0.36
5639.000,0.65,0.26,-0.65,5.95,0.32,0.00,0.00,91.96,0.32,5435,18.5,5.95,53.87,36.22,3.60,0.36
5908.000,0.68,0.48,-0.46,5.86,0.44,0.00,0.00,94.67,0.44,2857,17.9,5.86,57.65,32.57,3.91,0.00
6176.000,0.71,0.39,-0.64,5.20,0.37,0.00,0.00,92.69,0.37,7407,18.5,5.20,54.26,37.01,2.91,0.62
6445.000,0.74,0.60,-0.67,8.41,1.42,0.00,0.00,90.93,1.42,2909,17.7,8.41,57.93,30.10,3.56,0.00
6713.000,0.77,0.59,-0.51,6.95,0.85,0.00,0.00,90.70,0.85,3143,18.6,6.95,49.63,38.46,4.71,0.25
6982.000,0.80,0.42,-0.58,5.09,0.00,0.00,0.00,95.21,0.00,2034,18.4,5.09,56.64,34.29,3.98,0.00
7250.000,0.83,0.66,-0.62,5.47,0.40,0.00,0.00,94.34,0.40,4667,18.6,5.47,56.24,31.73,6.13,0.44
7519.000,0.86,0.43,-0.56,3.76,1.10,0.00,0.00,92.09,1.10,4390,18.8,3.76,57.39,33.83,4.76,0.25
7788.000,0.89,0.68,-0.45,4.04,0.00,0.00,0.00,91.51,0.00,3902,17.8,4.04,66.77,26.09,3.11,0.00
8056.000,0.92,0.80,-0.64,4.87,0.40,0.00,0.00,91.53,0.40,2727,18.1,4.87,60.09,31.79,2.78,0.46
8325.000,0.95,0.76,-0.62,5.14,1.08,0.00,0.00,91.71,1.08,1411,18.1,5.14,59.05,32.10,3.29,0.41
8593.000,0.98,0.89,-0.71,8.02,1.35,0.00,0.00,88.76,1.35,5319,18.0,8.02,58.56,31.55,1.87,0.00
8862.000,1.01,0.77,-0.58,8.52,0.85,0.00,0.00,89.86,0.85,4186,17.8,8.52,53.44,35.41,2.30,0.33
9130.000,1.04,0.62,-0.71,9.11,0.16,0.00,0.00,92.86,0.16,4340,17.8,9.11,57.32,29.64,3.57,0.36
9399.000,1.07,0.90,-0.63,7.64,0.58,0.00,0.00,89.81,0.58,3284,17.8,7.64,56.67,30.56,4.86,0.28
9667.000,1.10,0.68,-0.73,8.58,0.61,0.00,0.00,91.68,0.61,3445,17.8,8.58,59.93,26.20,4.70,0.59
9936.000,1.13,0.84,-0.67,6.73,0.51,0.00,0.00,92.92,0.51,5385,18.6,6.73,58.08,30.58,4.04,0.58
10204.000,1.16,0.67,-0.73,7.53,0.50,0.00,0.00,91.36,0.50,3095,17.8,7.53,58.88,28.57,4.63,0.39
10473.000,1.19,0.88,-0.68,6.92,1.43,0.00,0.00,90.59,1.43,3651,17.7,6.92,62.29,26.01,4.53,0.24
10741.000,1.22,0.76,-0.83,7.09,0.63,0.00,0.00,96.22,0.63,1111,18.8,7.09,54.61,34.52,3.78,0.00
11010.000,1.25,0.85,-0.90,5.28,0.55,0.00,0.00,96.67,0.55,1023,18.3,5.28,59.35,31.10,4.27,0.00
11278.000,1.28,0.71,-0.84,6.33,0.55,0.00,0.00,95.58,0.55,2308,17.7,6.33,61.22,28.37,4.08,0.00
11547.000,1.31,0.75,-0.71,7.79,0.19,0.00,0.00,96.90,0.19,457,15.9,7.79,62.53,25.26,4.21,0.21
11678.000,1.34,1.07,-0.57,12.02,0.45,0.00,0.00,95.96,0.45,1132,16.0,12.02,60.74,23.07,4.17,0.00
11809.000,1.37,1.54,-0.57,8.63,0.15,0.00,0.00,95.58,0.15,1364,19.7,8.63,51.79,35.18,4.40,0.00
11940.000,1.40,1.43,-0.48,9.70,0.34,0.00,0.00,96.83,0.34,1707,16.1,9.70,53.86,32.34,4.10,0.00
12070.000,1.43,1.30,-0.43,14.76,0.15,0.00,0.00,95.14,0.15,2424,15.3,14.76,58.16,23.26,3.82,0.00
12201.000,1.46,1.36,-0.44,11.42,0.41,0.00,0.00,97.73,0.41,1250,14.6,11.42,59.20,27.05,2.22,0.11
12332.000,1.49,1.39,-0.31,10.14,0.00,0.00,0.00,96.44,0.00,1286,15.1,10.14,55.86,29.73,4.28,0.00
12463.000,1.52,1.70,-0.55,11.36,0.17,0.00,0.00,96.87,0.17,1139,19.1,11.36,53.79,32.20,2.65,0.00
12689.000,1.55,1.51,-0.58,11.17,0.13,0.00,0.00,97.04,0.13,1068,16.1,11.17,59.89,26.36,2.58,0.00
12914.000,1.58,1.49,-0.72,8.51,0.00,0.00,0.00,97.42,0.00,776,15.9,8.51,61.85,26.75,2.89,0.00
13140.000,1.61,1.26,-0.60,9.43,0.28,0.00,0.00,94.63,0.28,3372,16.8,9.43,59.54,27.78,3.25,0.00
13441.000,1.64,,,8.85,0.11,0.00,0.00,97.12,0.11,1566,17.0,8.85,59.98,28.57,2.60,0.00
