Age,NAO,NAO_Sigma
316,1.04,0.6
321,0.64,0.6
326,0.23,0.6
331,-0.56,0.6
336,-1.38,0.6
341,-2.15,0.6
346,-0.49,0.6
352,0.71,0.6
363,0.95,0.6
375,1.15,0.6
387,0.34,0.6
398,0.97,0.6
410,1.25,0.6
422,1.45,0.6
434,0.98,0.6
445,0.98,0.6
457,-0.05,0.6
468,0.09,0.6
480,0.78,0.6
492,0.12,0.6
503,-0.52,0.6
520,0.15,0.6
525,1.34,0.6
531,1.35,0.6
536,0.49,0.6
541,1.29,0.6
547,2,0.6
552,1.97,0.6
570,1.73,0.6
589,1.49,0.6
607,1.76,0.6
625,1.31,0.6
643,1.69,0.6
662,1.95,0.6
680,2.12,0.6
698,2.05,0.6
735,1.81,0.6
754,1.43,0.6
773,1.81,0.6
792,2,0.6
811,2.07,0.6
852,2.04,0.6
875,1.64,0.6
897,0.7,0.6
920,1.3,0.6
943,1.83,0.6
950,1.81,0.6
957,2.14,0.6
964,2.02,0.6
971,2.29,0.6
978,2.16,0.6
985,2.46,0.6
992,2.4,0.6
1000,2.23,0.6
1007,2.33,0.6
1012,2.26,0.6
1019,2.14,0.6
1031,1.88,0.6
1043,1.38,0.6
1056,1.38,0.6
1068,0.82,0.6
1080,0.81,0.6
1092,0.81,0.6
1104,1.58,0.6
1116,1.64,0.6
1128,1.64,0.6
1140,1.61,0.6
1152,1.94,0.6
1164,1.89,0.6
1176,1.83,0.6
1188,2.21,0.6
1200,2.05,0.6
1212,2.3,0.6
1224,2.11,0.6
1236,2.07,0.6
1248,2.57,0.6
1260,2.53,0.6
1272,2.75,0.6
1284,2.41,0.6
1296,2.46,0.6
1308,2.41,0.6
1319,1.98,0.6
1330,1.69,0.6
1340,1.47,0.6
1351,0.9,0.6
1362,0.68,0.6
1373,0.95,0.6
1384,1,0.6
1395,0.83,0.6
1405,-0.01,0.6
1416,0.01,0.6
1427,0.17,0.6
1438,0.42,0.6
1449,-0.08,0.6
1460,1.65,0.6
1470,1.84,0.6
1481,1.65,0.6
1493,2.15,0.6
1505,2.27,0.6
1517,2.08,0.6
1529,1.88,0.6
1542,1.73,0.6
1554,1.09,0.6
1566,0.84,0.6
1578,1.11,0.6
1590,1.32,0.6
1605,1.56,0.6
1626,1.95,0.6
1648,2,0.6
1669,1.77,0.6
1691,2.07,0.6
1713,1.45,0.6
1735,1.14,0.6
1756,0.61,0.6
1778,1.11,0.6
1799,1.26,0.6
1821,1.16,0.6
1842,1.17,0.6
1864,1.49,0.6
1886,1.07,0.6
1908,1.38,0.6
1929,1.54,0.6
1951,1.51,0.6
1972,1.54,0.6
1995,1.16,0.6
2016,1.03,0.6
2037,0.77,0.6
2058,-0.16,0.6
2079,-0.42,0.6
2100,-0.38,0.6
2121,-1.03,0.6
2142,-0.28,0.6
2164,0.71,0.6
2185,1.21,0.6
2206,1.38,0.6
2227,1.18,0.6
2248,1.41,0.6
2267,1.28,0.6
2290,1.17,0.6
2312,1.12,0.6
2335,0.9,0.6
2358,0.87,0.6
2381,0.18,0.6
2404,-1.87,0.6
2427,-1.97,0.6
2450,-1.99,0.6
2473,-1.39,0.6
2496,-2.22,0.6
2519,-0.19,0.6
2542,0.7,0.6
2565,0.75,0.6
2589,0.65,0.6
2612,-0.98,0.6
2635,-1.3,0.6
2658,-0.42,0.6
2681,-0.46,0.6
2704,-1.57,0.6
2727,-0.63,0.6
2750,-1.83,0.6
2773,-1.81,0.6
2796,0.18,0.6
2819,0.46,0.6
2842,0.24,0.6
2865,0.02,0.6
2888,0.24,0.6
2912,0.12,0.6
2935,-0.18,0.6
2958,-0.38,0.6
2981,0.01,0.6
3004,0.85,0.6
