Age,Volume
0,-60.3485336304
2500,-54820.8046875
5000,-143647.75
7500,799091.0625
10000,8093130
12500,15742044
15000,23483376
17500,29911084
20000,30770112
22500,29628798
25000,26517134
27500,21254800
30000,16207461
32500,13720598
35000,12621846
37500,13685932
40000,12521466
42500,11593620
45000,14663936
47500,14886238
50000,13314363
52500,15029011
55000,16694152
57500,17296058
60000,20468034
62500,17835396
65000,11280936
67500,7693509
70000,5142991.5
72500,3461135
75000,2287925.5
77500,1215609.625
80000,1886841.875
